Sexe,age,Emploi,Telephone,statut_personnel,mois_pret_duree,historique de credit,but,Prix ( TND),personnes a charge,solde_d'epargne,duree_emploi,taux de versement ( par mois ) ,autres_debiteurs,Historique residence,propriete,logement,credits_existants,Score
Homme,33,employe qualifie,24228492,marie,18,critique,Electronique,2490,1,330,2 annees,4,rien,1 mois,autre,propre,1,1
Homme,24,employe qualifie,24193540,Celibataire,39,rembourse,voiture (occasion),5138,1,8170,3 annees,4,rien,16 ans,autre,propre,1,0
Homme,25,employe qualifie,26092484,Celibataire,24,rembourse,Electronique,10304,1,160,5 annees,4,rien,8 mois,autre,propre,1,0
Homme,39,resident non qualifie,27094638,Celibataire,12,rembourse,Entreprise,2074,1,1260,5 annees,3,rien,12 ans,immobilier,propre,1,0
Homme,44,employe qualifie,28957025,Celibataire,15,critique,meubles,2956,2,540,15 ans,4,rien,18 ans,autre,propre,2,0
Femme,23,resident non qualifie,23424759,,12,critique,Electronique,7146,1,310,3 annees,1,rien,,immobilier,propre,1,0
Homme,26,employe qualifie,23921657,Celibataire,24,rembourse,voiture (neuve),2402,1,10,6 mois,4,rien,,l'epargne de la societe de construction,propre,1,0
Femme,57,employe qualifie,25813323,,30,rembourse,meubles,7244,1,149570,14 ans,4,rien,6 ans,l'epargne de la societe de construction,louer,2,0
Femme,30,employe qualifie,21837831,,15,retarde,meubles,1920,1,162420,4 annees,3,rien,2 mois,l'epargne de la societe de construction,propre,2,0
Homme,47,independant de gestion,28283768,Celibataire,6,retarde,voiture (neuve),2418,1,90,,4,rien,9 annees,l'epargne de la societe de construction,propre,1,1
Homme,52,employe qualifie,27704885,Celibataire,12,rembourse,Electronique,6154,1,700,3 annees,2,rien,12 ans,autre,propre,1,0
Femme,62,employe qualifie,20498271,,24,rembourse,voiture (neuve),7514,1,360,15 ans,4,codemandeur,5 annees,inconnu/aucun,gratuitement,1,0
Homme,35,resident non qualifie,20631459,Celibataire,10,rembourse,voiture (neuve),2836,1,3880,1 ans,3,rien,1 mois,immobilier,louer,1,0
Homme,26,employe qualifie,25333884,Celibataire,6,rembourse,voiture (neuve),7036,1,300,2 annees,2,garant,4 annees,l'epargne de la societe de construction,louer,1,0
Homme,26,employe qualifie,21025765,Celibataire,12,critique,Electronique,3868,1,500,7 ans,2,rien,7 mois,inconnu/aucun,propre,2,0
Femme,42,independant de gestion,27168947,,27,entierement rembourse,Entreprise,16636,1,760,10 annees,2,rien,11 ans,inconnu/aucun,gratuitement,2,1
Homme,39,resident non qualifie,22708059,Celibataire,12,critique,voiture (neuve),4244,2,110,2 annees,3,rien,2 mois,immobilier,louer,2,0
Homme,20,employe qualifie,23811557,marie,24,rembourse,meubles,5992,1,0,3 annees,2,rien,9 annees,autre,propre,1,1
Femme,27,employe qualifie,22473919,,24,rembourse,voiture (neuve),6246,1,600,2 mois,4,rien,,l'epargne de la societe de construction,propre,1,1
Homme,42,employe qualifie,28080502,Celibataire,36,rembourse,voiture (occasion),10986,2,510,14 ans,2,rien,10 annees,inconnu/aucun,gratuitement,1,0
Homme,49,employe qualifie,20781564,divorce,9,rembourse,Electronique,2252,1,1060,15 ans,2,rien,19 annees,immobilier,propre,1,0
Homme,38,employe qualifie,27264383,Celibataire,24,critique,Electronique,2432,2,3290,7 mois,4,rien,16 ans,inconnu/aucun,propre,2,1
Femme,24,employe qualifie,26106980,,24,rembourse,voiture (neuve),2414,1,480,4 mois,4,rien,7 ans,l'epargne de la societe de construction,louer,1,1
Homme,36,employe qualifie,21553816,Celibataire,15,critique,voiture (occasion),4720,1,5590,3 annees,2,rien,9 mois,autre,propre,1,0
Homme,34,independant de gestion,20531783,Celibataire,15,entierement rembourse cette banque,voiture (neuve),13700,2,2190,,1,rien,7 mois,l'epargne de la societe de construction,propre,1,1
Homme,45,independant de gestion,25431929,Celibataire,39,rembourse,voiture (occasion),17176,1,2060,8 annees,4,rien,7 mois,autre,propre,1,0
Homme,26,employe qualifie,26513637,Celibataire,12,rembourse,voiture (neuve),1518,1,460,7 ans,4,rien,3 mois,immobilier,propre,1,1
Homme,32,independant de gestion,26125211,Celibataire,36,rembourse,voiture (occasion),9372,1,830,2 annees,2,rien,11 mois,inconnu/aucun,gratuitement,1,0
Homme,54,employe qualifie,24031140,Celibataire,24,rembourse,voiture (neuve),4510,1,0,6 mois,4,rien,,l'epargne de la societe de construction,propre,1,0
Homme,40,resident non qualifie,21407365,Celibataire,6,critique,voiture (neuve),2722,2,190,9 mois,2,rien,13 ans,immobilier,propre,1,0
Femme,23,employe qualifie,25229862,,36,critique,meubles,14254,1,520,0 mois,2,rien,15 ans,l'epargne de la societe de construction,louer,2,1
Homme,43,employe qualifie,23616865,Celibataire,6,rembourse,voiture (neuve),2406,1,1990,12 ans,3,rien,10 mois,l'epargne de la societe de construction,propre,1,0
Homme,44,employe qualifie,24219730,Celibataire,24,critique,reparations,11014,1,250,13 ans,3,rien,14 ans,inconnu/aucun,gratuitement,2,0
Femme,24,employe qualifie,27807783,,18,rembourse,Electronique,6380,1,890,2 annees,2,rien,0 mois,immobilier,propre,1,1
Femme,23,employe qualifie,25881045,,24,rembourse,voiture (occasion),6976,1,3610,6 ans,3,rien,14 ans,autre,propre,1,0
Homme,30,employe qualifie,26666765,Celibataire,26,rembourse,voiture (occasion),15932,1,860,4 mois,2,rien,2 annees,autre,propre,2,0
Femme,31,employe qualifie,27261095,,15,critique,education,3064,1,4100,1 ans,4,rien,3 annees,autre,propre,1,0
Homme,42,resident non qualifie,26013789,Celibataire,4,critique,Electronique,3006,2,570,7 ans,2,rien,,immobilier,propre,2,0
Homme,41,resident non qualifie,23292199,Celibataire,6,rembourse,voiture (neuve),1324,2,130,11 mois,3,rien,11 ans,immobilier,propre,1,0
Homme,32,employe qualifie,24123085,Celibataire,36,rembourse,education,4546,2,570,4 annees,3,rien,,autre,propre,2,0
Homme,26,employe qualifie,23999546,marie,24,rembourse,Electronique,2622,1,1640,6 ans,4,rien,3 annees,l'epargne de la societe de construction,propre,1,0
Homme,25,employe qualifie,26377906,Celibataire,24,rembourse,Electronique,6210,1,0,3 mois,4,rien,1 mois,autre,propre,2,0
Homme,33,employe qualifie,22057132,divorce,21,critique,education,4638,1,290,9 mois,2,rien,,autre,louer,1,1
Femme,75,independant de gestion,28935256,,6,rembourse,voiture (neuve),2748,1,0,,4,rien,3 annees,l'epargne de la societe de construction,propre,1,0
Femme,37,employe qualifie,21807512,,18,critique,meubles,7224,1,190,11 ans,3,rien,17 ans,l'epargne de la societe de construction,propre,1,0
Homme,42,independant de gestion,23451934,Celibataire,48,rembourse,voiture (neuve),15526,1,190,11 ans,4,rien,8 annees,inconnu/aucun,gratuitement,1,1
Femme,45,resident non qualifie,22368381,,18,rembourse,meubles,6098,1,50,7 mois,1,rien,,l'epargne de la societe de construction,propre,1,0
Homme,60,employe qualifie,27568278,Celibataire,24,retarde,voiture (neuve),4064,1,710,13 ans,4,rien,8 annees,inconnu/aucun,gratuitement,2,0
Homme,31,employe qualifie,29590750,Celibataire,30,rembourse,meubles,12700,1,0,15 ans,4,rien,21 ans,l'epargne de la societe de construction,propre,1,1
Homme,34,resident non qualifie,29132594,Celibataire,18,rembourse,meubles,5728,2,800,3 annees,2,rien,,immobilier,propre,1,1
Homme,61,resident non qualifie,24890103,Celibataire,12,critique,voiture (neuve),2510,1,40,19 annees,4,rien,14 ans,immobilier,propre,2,0
Homme,43,employe qualifie,28762488,Celibataire,24,retarde,voiture (neuve),2666,2,380,,4,rien,11 mois,immobilier,gratuitement,2,1
Femme,37,employe qualifie,28632436,,24,critique,voiture (neuve),4044,1,800,3 annees,4,rien,8 annees,autre,propre,1,0
Homme,45,resident non qualifie,23658988,Celibataire,6,entierement rembourse cette banque,Electronique,3500,2,5160,12 ans,2,rien,9 annees,l'epargne de la societe de construction,propre,1,0
Homme,34,employe qualifie,20406777,marie,48,rembourse,Electronique,13998,1,510,5 annees,1,garant,,immobilier,propre,2,1
Homme,22,employe qualifie,22504527,Celibataire,12,rembourse,Electronique,2662,1,500,7 mois,2,rien,,autre,propre,1,1
Femme,28,employe qualifie,25910745,,18,entierement rembourse,voiture (neuve),4556,1,4060,1 mois,3,rien,1 ans,autre,propre,2,1
Femme,29,employe qualifie,27692311,,21,entierement rembourse,voiture (neuve),10006,1,0,3 annees,1,rien,8 annees,l'epargne de la societe de construction,propre,2,1
Homme,49,employe qualifie,21174973,Celibataire,24,rembourse,voiture (occasion),5928,2,0,13 ans,4,rien,24 ans,inconnu/aucun,gratuitement,1,0
Homme,24,resident non qualifie,20896806,Celibataire,24,entierement rembourse cette banque,Electronique,3092,1,220,4 annees,4,garant,24 ans,autre,louer,1,1
Femme,29,employe qualifie,22710179,,6,retarde,Electronique,1366,1,320,9 mois,2,rien,,l'epargne de la societe de construction,propre,1,0
Homme,37,employe qualifie,21639072,Celibataire,36,rembourse,voiture (neuve),24778,1,0,3 annees,1,rien,5 annees,inconnu/aucun,gratuitement,1,1
Homme,37,independant de gestion,22719354,Celibataire,24,retarde,Entreprise,9424,1,0,3 annees,4,rien,10 mois,l'epargne de la societe de construction,propre,2,0
Femme,23,employe qualifie,24340074,,24,retarde,Electronique,3106,1,2050,4 annees,3,rien,1 mois,l'epargne de la societe de construction,louer,2,0
Femme,31,employe qualifie,28654213,,48,rembourse,Electronique,13516,1,140,2 annees,3,rien,0 mois,autre,propre,1,1
Femme,23,resident non qualifie,23478749,,24,rembourse,meubles,6468,1,740,0 mois,4,rien,9 annees,immobilier,louer,1,1
Femme,26,independant de gestion,26518181,,24,rembourse,voiture (occasion),10866,1,0,,2,rien,6 ans,l'epargne de la societe de construction,louer,1,0
Femme,22,resident non qualifie,26076437,,15,rembourse,Entreprise,1612,1,950,1 ans,4,rien,16 ans,l'epargne de la societe de construction,propre,1,0
Femme,24,employe qualifie,28772065,,15,critique,meubles,5576,1,970,4 annees,2,codemandeur,4 annees,autre,propre,2,0
Femme,27,employe qualifie,29257324,,12,rembourse,Electronique,5860,1,360,7 ans,2,rien,,immobilier,propre,1,0
Femme,33,employe qualifie,23331223,,24,critique,education,3854,1,0,1 ans,3,rien,8 mois,autre,propre,2,0
Homme,30,employe qualifie,25289935,Celibataire,18,critique,voiture (neuve),2112,1,900,10 annees,3,garant,4 annees,immobilier,propre,2,1
Homme,49,resident non qualifie,28011309,Celibataire,12,critique,voiture (neuve),6248,2,60,8 mois,1,rien,3 annees,immobilier,propre,2,0
Femme,26,employe qualifie,23156752,,9,rembourse,meubles,2776,1,300,1 ans,4,rien,6 mois,immobilier,louer,1,0
Homme,33,resident non qualifie,26039238,Celibataire,36,rembourse,reparations,4768,1,470,8 mois,4,rien,,inconnu/aucun,louer,1,1
Femme,52,independant de gestion,25144463,,12,rembourse,voiture (neuve),4266,1,0,17 ans,4,rien,24 ans,inconnu/aucun,gratuitement,1,0
Femme,20,employe qualifie,27034368,,18,rembourse,meubles,4078,1,0,3 annees,1,rien,9 annees,immobilier,louer,1,1
Homme,36,employe qualifie,22052139,Celibataire,9,critique,voiture (neuve),5598,2,310,1 ans,2,rien,5 mois,immobilier,louer,2,0
Homme,21,resident non qualifie,29199850,Celibataire,12,rembourse,meubles,2578,1,920,1 ans,4,garant,,l'epargne de la societe de construction,propre,1,0
Homme,47,resident non qualifie,24534558,marie,18,rembourse,appareils electromenagers,2434,1,10,3 annees,4,rien,3 annees,immobilier,propre,1,1
Femme,58,resident non qualifie,21160169,,12,critique,Electronique,770,1,600,5 annees,4,rien,3 annees,immobilier,propre,4,0
Femme,42,employe qualifie,25160203,,24,retarde,voiture (neuve),3930,1,0,2 annees,4,rien,19 annees,autre,louer,2,0
Femme,36,resident non qualifie,22192286,,21,rembourse,Entreprise,3144,1,194850,7 ans,4,rien,12 ans,immobilier,propre,1,0
Femme,20,resident non qualifie,26956553,,24,rembourse,voiture (neuve),5436,1,530,1 ans,3,rien,20 ans,l'epargne de la societe de construction,louer,1,1
Homme,40,independant de gestion,26058727,Celibataire,24,entierement rembourse cette banque,autres,2716,1,0,13 ans,4,rien,4 annees,autre,propre,1,1
Femme,32,resident non qualifie,22057829,,6,entierement rembourse cette banque,voiture (neuve),1862,1,2130,9 mois,1,rien,,l'epargne de la societe de construction,propre,1,1
Femme,23,employe qualifie,29507515,,24,rembourse,voiture (neuve),2884,1,890,6 ans,4,rien,7 ans,autre,louer,2,1
Homme,31,employe qualifie,25607925,Celibataire,18,critique,voiture (neuve),5550,1,130,4 annees,2,rien,8 mois,l'epargne de la societe de construction,propre,2,1
Femme,30,employe qualifie,28507389,,9,rembourse,meubles,1836,1,860,1 ans,4,rien,,l'epargne de la societe de construction,propre,1,1
Femme,34,resident non qualifie,27762964,,24,entierement rembourse cette banque,education,3674,1,890,7 ans,4,rien,23 annees,inconnu/aucun,gratuitement,1,1
Femme,28,independant de gestion,28709282,,36,rembourse,meubles,6698,1,0,1 ans,4,rien,5 mois,autre,propre,1,1
Homme,74,independant de gestion,25338659,Celibataire,24,critique,Entreprise,9052,1,600,2 annees,3,rien,5 mois,immobilier,propre,1,0
Femme,50,employe qualifie,28618194,,36,rembourse,Electronique,5342,1,2410,1 ans,4,codemandeur,5 annees,inconnu/aucun,gratuitement,1,1
Femme,22,employe qualifie,27030787,,12,rembourse,appareils electromenagers,1482,1,4080,,4,rien,2 annees,l'epargne de la societe de construction,propre,1,1
Femme,29,employe qualifie,29720334,,21,rembourse,Electronique,6714,1,31380,9 mois,4,rien,1 mois,autre,propre,1,0
Femme,22,employe qualifie,23495047,,24,entierement rembourse cette banque,voiture (occasion),7264,1,570,1 ans,1,garant,13 ans,autre,louer,1,0
Femme,22,employe qualifie,26183499,,18,retarde,meubles,3616,1,30,6 ans,4,rien,,immobilier,propre,1,1
Homme,48,independant de gestion,28556146,Celibataire,48,entierement rembourse,Entreprise,24408,1,0,1 ans,2,rien,9 mois,autre,propre,1,0
Homme,27,independant de gestion,22390980,Celibataire,60,retarde,Electronique,18314,1,0,3 annees,2,rien,1 mois,inconnu/aucun,gratuitement,1,0
Femme,21,employe qualifie,25841729,,30,rembourse,meubles,6882,1,3150,1 ans,2,codemandeur,17 ans,autre,louer,1,1
Homme,49,resident non qualifie,26803206,divorce,12,rembourse,voiture (neuve),1280,1,880,2 annees,4,rien,0 mois,immobilier,propre,1,0
Homme,27,employe qualifie,26700113,Celibataire,21,critique,Entreprise,7304,1,490,4 annees,2,rien,2 annees,l'epargne de la societe de construction,propre,2,0
Homme,32,employe qualifie,28902533,Celibataire,18,critique,voiture (neuve),3060,1,600,3 annees,3,rien,0 mois,l'epargne de la societe de construction,propre,2,1
Femme,22,employe qualifie,27544951,,12,rembourse,meubles,3716,1,350,4 mois,4,rien,,autre,louer,1,0
Homme,65,employe qualifie,27057854,Celibataire,18,rembourse,Electronique,5200,1,470,2 annees,4,rien,23 annees,inconnu/aucun,gratuitement,2,1
Homme,35,employe qualifie,27853130,Celibataire,15,rembourse,Electronique,3958,1,0,11 ans,4,rien,1 mois,autre,propre,1,0
Homme,41,employe qualifie,22123467,Celibataire,6,rembourse,meubles,4232,1,340,1 ans,2,rien,9 mois,immobilier,propre,1,0
Homme,29,employe qualifie,22254512,Celibataire,9,entierement rembourse cette banque,voiture (neuve),2874,1,4730,5 annees,2,rien,4 annees,inconnu/aucun,propre,1,1
Homme,64,resident non qualifie,22129878,Celibataire,9,rembourse,education,7664,1,0,17 ans,1,rien,13 ans,immobilier,propre,1,0
Homme,44,employe qualifie,28160566,Celibataire,18,entierement rembourse cette banque,meubles,3106,1,290,1 ans,4,rien,3 annees,autre,propre,1,1
Femme,19,employe qualifie,28316622,,9,rembourse,meubles,3960,1,310,11 mois,2,codemandeur,3 mois,autre,louer,2,1
Homme,47,employe qualifie,20718871,Celibataire,12,rembourse,education,2786,2,600,7 ans,4,rien,11 ans,l'epargne de la societe de construction,propre,3,0
Femme,28,employe qualifie,28653486,,24,rembourse,Electronique,2752,1,7190,4 annees,4,rien,,autre,propre,1,0
Homme,21,employe qualifie,20423133,Celibataire,60,retarde,Electronique,31306,1,60,7 ans,2,rien,18 ans,autre,propre,2,0
Femme,34,employe qualifie,24988799,,12,rembourse,Electronique,2986,2,890,3 mois,4,rien,2 annees,autre,propre,1,0
Homme,38,resident non qualifie,29739977,Celibataire,15,rembourse,reparations,2616,1,150,14 ans,4,rien,7 ans,autre,propre,2,0
Homme,40,independant de gestion,24215004,Celibataire,15,rembourse,education,9246,1,4130,3 annees,3,rien,9 mois,l'epargne de la societe de construction,propre,1,1
Homme,33,employe qualifie,22785585,marie,24,critique,Electronique,3702,1,270,5 annees,4,garant,10 mois,autre,propre,2,0
Homme,27,employe qualifie,23612895,Celibataire,36,retarde,Entreprise,15960,1,0,8 mois,4,rien,18 ans,autre,louer,2,1
Homme,32,employe qualifie,24067303,divorce,30,entierement rembourse,meubles,9166,1,990,2 annees,2,garant,8 mois,immobilier,propre,2,0
Homme,38,employe qualifie,20474044,Celibataire,24,rembourse,voiture (neuve),1894,2,250,5 annees,4,rien,4 annees,inconnu/aucun,gratuitement,1,1
Homme,40,resident non qualifie,26851882,Celibataire,12,rembourse,education,1368,2,800,3 annees,4,rien,18 ans,autre,louer,1,1
Homme,50,independant de gestion,25716119,Celibataire,48,rembourse,education,14952,1,550,6 ans,4,rien,,inconnu/aucun,gratuitement,1,0
Homme,37,resident non qualifie,25201717,Celibataire,12,rembourse,meubles,3844,1,390,2 annees,4,rien,6 mois,l'epargne de la societe de construction,propre,1,1
Homme,45,employe qualifie,24872680,Celibataire,24,rembourse,voiture (neuve),4606,1,50,11 ans,4,codemandeur,,immobilier,propre,1,1
Homme,42,independant de gestion,21383801,Celibataire,36,retarde,voiture (neuve),16172,1,4400,8 annees,2,rien,12 ans,autre,propre,4,1
Homme,35,employe qualifie,27718699,Celibataire,24,critique,voiture (occasion),4692,1,530,4 annees,4,rien,2 annees,autre,propre,2,0
Homme,22,employe qualifie,24368130,Celibataire,14,rembourse,voiture (neuve),7946,1,160,,1,rien,23 annees,inconnu/aucun,gratuitement,1,0
Homme,41,resident non qualifie,20892831,Celibataire,12,rembourse,voiture (neuve),1776,2,170,11 ans,4,rien,5 annees,autre,propre,1,1
Homme,41,employe qualifie,29642980,Celibataire,18,critique,meubles,12722,1,810,10 annees,2,rien,,inconnu/aucun,propre,1,0
Homme,23,employe qualifie,22814345,marie,12,rembourse,Electronique,2594,1,110,1 ans,3,rien,14 ans,immobilier,louer,1,0
Homme,23,employe qualifie,26863627,marie,12,rembourse,voiture (neuve),1800,1,0,2 annees,4,rien,3 mois,autre,propre,1,1
Homme,50,employe qualifie,28308106,Celibataire,21,rembourse,meubles,4482,1,180,18 ans,4,rien,11 mois,immobilier,propre,2,0
Homme,35,independant de gestion,22321265,Celibataire,6,retarde,meubles,2100,1,480,,4,rien,,l'epargne de la societe de construction,propre,2,0
Femme,50,resident non qualifie,23322792,,6,critique,education,2094,1,840,3 annees,2,rien,7 ans,l'epargne de la societe de construction,propre,1,0
Femme,27,employe qualifie,25079289,,48,entierement rembourse cette banque,Entreprise,7218,1,390,1 ans,1,rien,,immobilier,propre,1,0
Homme,43,employe qualifie,25747019,Celibataire,12,critique,voiture (neuve),9686,1,730,9 annees,3,codemandeur,19 annees,l'epargne de la societe de construction,louer,2,1
Homme,31,employe qualifie,28881711,Celibataire,36,rembourse,Entreprise,11484,1,1110,5 annees,2,rien,8 mois,autre,propre,2,0
Homme,41,resident non qualifie,24543263,Celibataire,21,retarde,Entreprise,5160,2,5620,11 mois,4,rien,1 mois,immobilier,propre,1,1
Femme,26,independant de gestion,21087168,,30,critique,Electronique,9060,1,190,5 annees,4,rien,16 ans,autre,louer,1,0
Homme,33,employe qualifie,24634208,Celibataire,24,critique,meubles,10300,1,530,15 ans,4,rien,22 ans,autre,propre,1,0
Homme,24,employe qualifie,25055051,marie,72,rembourse,Electronique,11190,1,4860,2 annees,2,rien,0 mois,autre,propre,1,1
Homme,64,resident non qualifie,24780879,Celibataire,24,rembourse,Electronique,4768,1,610,11 ans,4,rien,23 annees,immobilier,louer,1,0
Femme,56,employe qualifie,26927079,,6,rembourse,education,3076,1,690,8 mois,1,rien,11 mois,inconnu/aucun,propre,1,0
Homme,37,employe qualifie,21467652,Celibataire,12,rembourse,Electronique,4558,1,0,3 annees,4,rien,13 ans,inconnu/aucun,gratuitement,1,0
Homme,33,employe qualifie,23797778,marie,15,retarde,Electronique,2956,1,480,3 annees,4,rien,1 ans,immobilier,propre,2,0
Homme,47,employe qualifie,23035840,marie,24,critique,Electronique,10206,1,100,2 mois,3,rien,2 annees,inconnu/aucun,gratuitement,3,0
Homme,31,resident non qualifie,26806179,Celibataire,36,retarde,Entreprise,19714,2,3710,5 annees,1,rien,3 annees,l'epargne de la societe de construction,propre,2,0
Homme,34,employe qualifie,20752513,Celibataire,60,rembourse,voiture (neuve),13054,2,0,1 ans,4,rien,8 annees,inconnu/aucun,gratuitement,1,0
Homme,27,employe qualifie,24338646,Celibataire,10,critique,Electronique,2694,1,0,6 ans,4,rien,6 mois,l'epargne de la societe de construction,propre,2,0
Homme,30,employe qualifie,29357444,Celibataire,36,retarde,voiture (neuve),5724,1,2530,18 ans,4,rien,1 ans,inconnu/aucun,gratuitement,1,0
Homme,35,employe qualifie,28234289,Celibataire,9,rembourse,Electronique,5506,1,4260,7 ans,3,codemandeur,21 ans,autre,propre,1,0
Homme,31,employe qualifie,24415919,Celibataire,12,rembourse,voiture (neuve),7302,2,199700,2 annees,1,rien,4 annees,l'epargne de la societe de construction,propre,1,0
Femme,25,resident non qualifie,28800782,,15,rembourse,reparations,5262,1,4630,3 annees,3,rien,9 mois,immobilier,propre,1,0
Homme,29,employe qualifie,26241424,Celibataire,24,rembourse,Electronique,5792,1,4810,4 mois,2,rien,,autre,propre,1,0
Homme,44,resident non qualifie,24810205,Celibataire,6,critique,voiture (neuve),9432,2,0,10 mois,1,rien,3 annees,immobilier,propre,2,0
Homme,28,employe qualifie,21541476,Celibataire,24,rembourse,Electronique,4568,1,570,6 ans,4,rien,11 mois,autre,propre,1,0
Femme,38,chomeur non resident,29127090,,12,critique,voiture (neuve),1852,1,520,,1,rien,10 mois,l'epargne de la societe de construction,propre,1,0
Homme,24,employe qualifie,23640430,Celibataire,18,critique,Electronique,3600,1,850,1 ans,4,rien,2 mois,autre,propre,2,0
Homme,40,independant de gestion,25281126,Celibataire,15,rembourse,education,3810,1,770,12 ans,4,rien,8 annees,autre,louer,1,0
Femme,29,resident non qualifie,25593849,,12,rembourse,meubles,2246,1,9930,1 ans,4,rien,17 ans,autre,louer,1,1
Homme,46,employe qualifie,23808028,Celibataire,48,critique,voiture (occasion),12662,1,380,18 ans,4,rien,19 annees,inconnu/aucun,gratuitement,2,1
Femme,47,employe qualifie,24479929,,24,rembourse,Electronique,2754,1,1440,12 ans,4,rien,11 mois,inconnu/aucun,gratuitement,1,0
Homme,41,employe qualifie,27429149,Celibataire,30,retarde,Entreprise,5006,1,2830,8 annees,4,rien,8 mois,l'epargne de la societe de construction,propre,2,0
Femme,32,employe qualifie,24795750,,27,rembourse,Entreprise,5056,2,970,1 mois,4,rien,,l'epargne de la societe de construction,propre,1,0
Femme,35,employe qualifie,25758895,,15,rembourse,voiture (neuve),10648,1,9960,10 annees,1,rien,8 annees,inconnu/aucun,gratuitement,1,0
Homme,24,employe qualifie,28852229,Celibataire,48,rembourse,voiture (neuve),13120,1,1020,6 ans,3,rien,5 mois,l'epargne de la societe de construction,propre,1,1
Femme,25,employe qualifie,26695134,,9,rembourse,Electronique,2412,1,540,14 ans,4,rien,22 ans,immobilier,propre,1,0
Homme,46,independant de gestion,22206289,Celibataire,21,rembourse,voiture (occasion),4952,1,0,19 annees,4,rien,12 ans,immobilier,propre,1,0
Homme,25,resident non qualifie,23041661,Celibataire,9,critique,Electronique,2276,1,350,1 ans,4,rien,11 ans,immobilier,propre,2,0
Homme,32,independant de gestion,22001448,Celibataire,18,rembourse,Electronique,3010,1,0,2 annees,4,rien,3 mois,inconnu/aucun,gratuitement,1,0
Homme,31,employe qualifie,21368461,Celibataire,24,critique,Electronique,6296,1,0,3 annees,3,rien,7 mois,autre,propre,2,0
Homme,31,employe qualifie,25732362,marie,20,entierement rembourse,voiture (occasion),12296,1,1220,16 ans,3,rien,17 ans,autre,propre,2,0
Homme,34,independant de gestion,27503821,Celibataire,9,entierement rembourse,Electronique,2674,1,620,7 mois,4,rien,0 mois,autre,propre,2,1
Femme,66,resident non qualifie,22268420,,9,rembourse,Electronique,1580,1,5340,1 ans,4,rien,1 ans,immobilier,propre,1,0
Femme,21,employe qualifie,25569860,,27,rembourse,voiture (neuve),5140,1,130,1 ans,3,rien,4 annees,immobilier,louer,1,1
Femme,41,resident non qualifie,22589505,,6,critique,voiture (neuve),500,1,60020,2 annees,2,rien,4 mois,immobilier,propre,2,0
Homme,47,resident non qualifie,24747602,marie,15,critique,Electronique,2632,1,9990,3 annees,2,rien,4 mois,l'epargne de la societe de construction,propre,2,0
Femme,59,employe qualifie,25098186,,48,entierement rembourse cette banque,Entreprise,12832,1,740,10 annees,4,rien,1 ans,inconnu/aucun,louer,1,1
Homme,36,employe qualifie,26747541,divorce,24,critique,Entreprise,2550,1,192950,1 ans,2,rien,14 ans,immobilier,propre,2,0
Homme,33,employe qualifie,21146532,Celibataire,24,retarde,Electronique,12806,1,440,6 mois,1,rien,7 mois,autre,propre,1,0
Homme,21,resident non qualifie,23846588,Celibataire,24,rembourse,Electronique,3974,2,430,2 annees,2,rien,15 ans,immobilier,louer,1,1
Femme,37,employe qualifie,29293111,,4,critique,voiture (neuve),6760,2,130,5 annees,1,rien,,immobilier,propre,1,0
Homme,35,resident non qualifie,20702302,Celibataire,18,rembourse,voiture (neuve),8760,2,1570,2 annees,3,rien,18 ans,autre,propre,1,0
Homme,45,independant de gestion,25345028,Celibataire,6,critique,voiture (neuve),13522,2,570,7 ans,1,rien,4 annees,inconnu/aucun,propre,2,0
Femme,26,resident non qualifie,25947809,,30,entierement rembourse,Entreprise,8560,1,3640,2 annees,4,rien,19 annees,autre,louer,2,1
Homme,32,employe qualifie,22239055,Celibataire,24,entierement rembourse cette banque,voiture (neuve),4650,1,4360,5 annees,2,rien,4 annees,autre,propre,1,0
Homme,23,resident non qualifie,26498798,Celibataire,10,entierement rembourse cette banque,Electronique,2096,1,770,1 ans,4,rien,7 ans,immobilier,propre,1,0
Homme,22,employe qualifie,28637258,Celibataire,24,entierement rembourse cette banque,meubles,4966,1,9400,2 annees,4,rien,6 ans,immobilier,propre,1,0
Homme,30,independant de gestion,28514117,Celibataire,39,critique,meubles,28358,1,0,4 annees,4,rien,16 ans,l'epargne de la societe de construction,propre,2,0
Homme,28,resident non qualifie,20772892,Celibataire,13,critique,Entreprise,3594,1,170,10 mois,3,rien,,l'epargne de la societe de construction,propre,2,0
Femme,23,employe qualifie,28065766,,15,rembourse,voiture (neuve),5022,1,40,,1,rien,15 ans,autre,louer,1,0
Homme,26,employe qualifie,22033445,Celibataire,21,rembourse,voiture (occasion),10496,1,0,1 ans,1,rien,4 annees,autre,propre,1,0
Femme,23,resident non qualifie,29675752,,18,rembourse,voiture (neuve),1952,1,240,10 mois,1,rien,2 mois,autre,propre,1,1
Femme,23,resident non qualifie,29740934,,12,rembourse,Entreprise,1682,1,4640,5 annees,2,rien,8 annees,immobilier,louer,1,0
Homme,74,chomeur non resident,22064558,Celibataire,6,critique,voiture (neuve),2598,2,400,1 ans,1,rien,,immobilier,propre,3,0
Homme,39,employe qualifie,29574723,Celibataire,15,critique,Electronique,2542,1,0,2 annees,3,rien,6 ans,inconnu/aucun,gratuitement,2,1
Homme,31,employe qualifie,23469782,Celibataire,24,rembourse,voiture (neuve),2786,1,150,3 annees,2,garant,1 mois,immobilier,propre,1,0
